Calf,Sex,Diet,Time,Days,Sample
5022,F,B,1yr,358,S1
5022,F,B,1yr,359,S2
5022,F,B,1yr,360,S3
5025,F,C,1yr,369,F
5026,F,A,1yr,365,F
5027,F,B,1yr,359,F
5028,F,C,1yr,358,F
5031,F,A,1yr,368,F
5031,F,A,1yr,368,L1
5031,F,A,1yr,369,L2
5031,F,A,1yr,370,L3
5031,F,A,1yr,368,S1
5031,F,A,1yr,369,S2
5031,F,A,1yr,370,S3
5032,F,B,1yr,367,F
5034,F,B,1yr,366,F
5034,F,B,1yr,366,L1
5034,F,B,1yr,367,L2
5034,F,B,1yr,368,L3
5034,F,B,1yr,366,S1
5034,F,B,1yr,367,S2
5034,F,B,1yr,368,S3
5035,F,C,1yr,363,F
5035,F,C,1yr,363,L1
5035,F,C,1yr,364,L2
5035,F,C,1yr,365,L3
5035,F,C,1yr,363,S1
5035,F,C,1yr,364,S2
5035,F,C,1yr,365,S3
5037,F,A,1yr,358,F
5038,F,C,1yr,358,F
5039,F,B,1yr,370,F
5041,F,A,1yr,364,F
5042,F,C,1yr,363,F
5044,F,B,1yr,369,F
5045,F,A,1yr,367,F
5045,F,A,1yr,367,L1
5045,F,A,1yr,368,L2
5045,F,A,1yr,369,L3
5045,F,A,1yr,367,S1
5045,F,A,1yr,368,S2
5045,F,A,1yr,369,S3
5046,F,A,1yr,367,F
5047,F,C,1yr,364,F
5047,F,C,1yr,364,L1
5047,F,C,1yr,365,L2
5047,F,C,1yr,366,L3
5047,F,C,1yr,364,S1
5047,F,C,1yr,365,S2
5047,F,C,1yr,366,S3
5048,F,B,1yr,363,F
5048,F,B,1yr,363,L1
5048,F,B,1yr,364,L2
5048,F,B,1yr,365,L3
5048,F,B,1yr,363,S1
5048,F,B,1yr,364,S2
5048,F,B,1yr,365,S3
5049,F,A,1yr,359,F
5050,F,B,1yr,369,F
5051,F,C,1yr,369,F
5052,F,B,1yr,367,F
5052,F,B,1yr,367,L1
5052,F,B,1yr,368,L2
5052,F,B,1yr,369,L3
5052,F,B,1yr,367,S1
5052,F,B,1yr,368,S2
5052,F,B,1yr,369,S3
5053,F,A,1yr,365,F
5053,F,A,1yr,365,L1
5053,F,A,1yr,366,L2
5053,F,A,1yr,367,L3
5053,F,A,1yr,365,S1
5053,F,A,1yr,366,S2
5053,F,A,1yr,367,S3
5054,F,C,1yr,364,F
5054,F,C,1yr,364,L1
5054,F,C,1yr,365,L2
5054,F,C,1yr,366,L3
5054,F,C,1yr,364,S1
5054,F,C,1yr,365,S2
5054,F,C,1yr,366,S3
5055,F,C,1yr,361,F
5057,F,B,1yr,364,F
5058,F,A,1yr,364,F
5059,F,C,1yr,364,F
5062,F,B,1yr,361,F
5063,F,A,1yr,360,F
